address,full_address,latitude,longitude,planning_area,region,Nearest_MRT_Station,latitude_mrt,longitude_mrt,Distance_to_Nearest_MRT_km,Walking_Time_to_Nearest_MRT_min,price,unit_type,room_type,room_size_sqft,status,updated_date,link
18 Simei St 1,"Simei Street 1, Simei, Southeast, 520119, Singapore",1.3434547,103.951988,Tampines,East,SIMEI MRT STATION,1.343202895,103.9533717,0.15634572878357006,1.8761487454028405,1350.0,Condo,Common room,180.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/melville-park-condo-JfcHdkwQiTYm8NZSuk26SU
71 Woodgrove Ave,"71, Woodgrove Avenue, Woodhaven, Woodlands, Northwest, 737808, Singapore",1.42974195,103.7841524124269,Woodlands,North,WOODLANDS MRT STATION,1.436875128,103.7864851,0.8344825884772432,10.013791061726918,1100.0,Condo,Common room,90.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/woodhaven-condo-WQUTkWBmzq9T49GEzPAQNf
525 Woodlands Drive 14,"Woodlands Drive 14, Woodlands, Northwest, 738079, Singapore",1.4338723,103.7902791,Woodlands,North,WOODLANDS MRT STATION,1.436875128,103.7864851,0.5379166476914953,6.454999772297943,880.0,HDB,Common room,142.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/525-woodlands-drive-14-hdb-6yeHxiLByuavTDZsH4BoQd
135 Pasir Ris Grove,"Pasir Ris Grove, Pasir Ris, Northeast, 518074, Singapore",1.3729115,103.9449287,Pasir Ris,East,PASIR RIS MRT STATION,1.372983774,103.9492681,0.482447679932884,5.789372159194609,1400.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/dnest-condo-GoHbtYXm9kHxUHJ3k84sec
17A Simei St 4,"Simei Street 4, Simei, Southeast, 520227, Singapore",1.3418969,103.9560609,Tampines,East,SIMEI MRT STATION,1.343202895,103.9533717,0.33234914801522886,3.9881897761827463,1550.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/double-bay-residences-condo-R6MBbihASwJQfLZTe22XSH
807 Yishun Ring Road,"Yishun Ring Road, Yishun, Northwest, 760675, Singapore",1.4198555,103.8438519,Yishun,North,KHATIB MRT STATION,1.41738337,103.8329799,1.2394088217888835,14.872905861466602,900.0,HDB,Common room,80.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/807-yishun-ring-road-hdb-3HexaA9c5vpNdBgivAd6dE
314 Woodlands Street 31,"314, Woodlands Street 31, Woodlands, Northwest, 730314, Singapore",1.43119295,103.77607259999999,Woodlands,North,MARSILING MRT STATION,1.432514421,103.7740715,0.26659401592429094,3.1991281910914915,900.0,HDB,Common room,80.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/314-woodlands-street-31-hdb-irCLTemjuXtAWSaZgifntB
104 Tampines Street 11,"104, Tampines Street 11, Tampines, Northeast, 521138, Singapore",1.3471929,103.9466771572083,Tampines,East,TAMPINES MRT STATION,1.353301356,103.9451487,0.7001583401786894,8.401900082144273,1400.0,HDB,Master room,180.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/104-tampines-street-11-hdb-ZAb4qeCUCBYsqVdtGGDYN5
301 Jln Bukit Ho Swee,"301, Jalan Bukit Ho Swee, Bukit Merah, Central, 169568, Singapore",1.2870582499999998,103.8277018564034,Bukit Merah,Central,TIONG BAHRU MRT STATION,1.286193393,103.8270194,0.12249066529655359,1.4698879835586431,1600.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/meraprime-condo-Giufnc67NjBGHXr6Qc5G5h
32 Woodlands Cres,"32, Woodlands Crescent, Woodlands, Northwest, 730784, Singapore",1.4454434,103.80637936318752,Woodlands,North,ADMIRALTY MRT STATION,1.440585001,103.800988,0.8068523675990057,9.682228411188069,1300.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/northoaks-condo-kza4Vk9SeC8tfr9GcZzU3p
110 Woodlands Street 13,"110, Woodlands Street 13, Woodlands, Northwest, 730110, Singapore",1.4376112,103.78157846864175,Woodlands,North,WOODLANDS MRT STATION,1.436875128,103.7864851,0.5515278171467279,6.618333805760735,850.0,HDB,Common room,161.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/110-woodlands-street-13-hdb-SYZFFRwF2FhvvnZvcpc5Wz
808A Chai Chee Road,"808A, Chai Chee Road, Chai Chee, Bedok, Southeast, 461808, Singapore",1.3269912499999998,103.92403088745593,Bedok,East,BEDOK MRT STATION,1.323979969,103.9299845,0.7417155794044561,8.900586952853473,1200.0,HDB,Common room,100.0,PARTIALLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/808a-chai-chee-road-hdb-XF2rTkAiedinrb6rtppQMx
