address,nearest_mrt,time_to_nearest_mrt,price,unit_type,room_type,room_size,status,updated_time,link,updated_date
19 Oxley Rd,Somerset, 5 mins,1650.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325199,https://99.co/singapore/rooms/property/orchard-court-condo-3dTSLTLHuGxvqTh5X87hbM,2023-09-25
631 Senja Road,Senja, 6 mins,750.0,HDB,Common room,110.0,FULLY FURNISHED,2023-09-25 13:57:29.325201,https://99.co/singapore/rooms/property/631-senja-road-hdb-DMXmcA4bgY9CrmswsYPwbR,2023-09-25
359 Yung An Road,,,1200.0,HDB,Common room,280.0,FULLY FURNISHED,2023-09-25 13:57:29.325203,https://99.co/singapore/rooms/property/359-yung-an-road-hdb-ZjYvKCyD4wtsZjRoyFdoTN,2023-09-25
3 Elias Green,Tampines North, 6 mins,1800.0,Condo,Common room,250.0,FULLY FURNISHED,2023-09-25 13:57:29.325205,https://99.co/singapore/rooms/property/elias-green-condo-fVztdjHg2WJXDDehRQ7vwt,2023-09-25
11 Sengkang East Ave,Kangkar, 4 mins,1180.0,Condo,Common room,250.0,FULLY FURNISHED,2023-09-25 13:57:29.325207,https://99.co/singapore/rooms/property/austville-residences-condo-8YNHLwcxCLPkWDfjaikLcV,2023-09-25
805 Bt Timah Rd,Sixth Avenue, 3 mins,1850.0,Condo,Common room,200.0,FULLY FURNISHED,2023-09-25 13:57:29.325210,https://99.co/singapore/rooms/property/sixth-avenue-centre-condo-9Sm8hWPX7sAn9afqNALSnc,2023-09-25
144 Lorong Ah Soo,,,1500.0,HDB,Master room,162.0,FULLY FURNISHED,2023-09-25 13:57:29.325212,https://99.co/singapore/rooms/property/144-lorong-ah-soo-hdb-Q89ov9tq2tjjkXk68XR2Gk,2023-09-25
118A Jalan Membina,Tiong Bahru, 6 mins,900.0,HDB,Master room,250.0,FULLY FURNISHED,2023-09-25 13:57:29.325214,https://99.co/singapore/rooms/property/118a-jalan-membina-hdb-arTrbkdotPnsEM6TJfrkRJ,2023-09-25
118A Jalan Membina,Tiong Bahru, 6 mins,900.0,HDB,Master room,250.0,FULLY FURNISHED,2023-09-25 13:57:29.325216,https://99.co/singapore/rooms/property/118a-jalan-membina-hdb-arTrbkdotPnsEM6TJfrkRJ,2023-09-25
17C Simei St 4,Simei, 6 mins,1350.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325219,https://99.co/singapore/rooms/property/double-bay-residences-condo-N4Gbdznp7ABorvMCjRarUL,2023-09-25
456 Corporation Rd,Lakeside, 5 mins,2300.0,Condo,Master room,200.0,FULLY FURNISHED,2023-09-25 13:57:29.325221,https://99.co/singapore/rooms/property/parc-vista-condo-ipsJobWkajCcobCix6hnhG,2023-09-25
6 Kensington Pk Dr,,,1100.0,Condo,Common room,130.0,FULLY FURNISHED,2023-09-25 13:57:29.325223,https://99.co/singapore/rooms/property/kensington-park-condominium-condo-WzPcetg2ibHhtqLM8e2z4K,2023-09-25
1 Makeway Ave,Newton, 6 mins,3000.0,Condo,Master room,120.0,PARTIALLY FURNISHED,2023-09-25 13:57:29.325225,https://99.co/singapore/rooms/property/newton-edge-condo-5EEx8x8zRxWrSsrASPEctf,2023-09-25
7 Punggol Field Walk,Coral Edge, 2 mins,1300.0,Condo,Common room,150.0,FULLY FURNISHED,2023-09-25 13:57:29.325227,https://99.co/singapore/rooms/property/flo-residence-condo-UDqUDY8jD7yfeXffVPwaup,2023-09-25
126C Kim Tian Road,Tiong Bahru, 6 mins,1300.0,HDB,Common room,110.0,PARTIALLY FURNISHED,2023-09-25 13:57:29.325230,https://99.co/singapore/rooms/property/126c-kim-tian-road-hdb-Yi4WN7ifxFXfh7vEMz3j3Y,2023-09-25
220 Ang Mo Kio Avenue 1,Teck Ghee, 4 mins,650.0,HDB,Common room,120.0,FULLY FURNISHED,2023-09-25 13:57:29.325232,https://99.co/singapore/rooms/property/220-ang-mo-kio-avenue-1-hdb-KdejWgyo4s55FVASmk68nC,2023-09-25
71 Woodgrove Ave,,,1100.0,Condo,Common room,90.0,FULLY FURNISHED,2023-09-25 13:57:29.325234,https://99.co/singapore/rooms/property/woodhaven-condo-WQUTkWBmzq9T49GEzPAQNf,2023-09-25
83 Marine Parade Central,Marine Parade, 2 mins,1100.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325236,https://99.co/singapore/rooms/property/83-marine-parade-central-hdb-FBKDop9XgCRVHMaYyrcrYK,2023-09-25
513 Woodlands Drive 14,Woodlands, 6 mins,1050.0,HDB,Common room,150.0,FULLY FURNISHED,2023-09-25 13:57:29.325239,https://99.co/singapore/rooms/property/513-woodlands-drive-14-hdb-YrrTJoukHaHG2fo8bYDXHX,2023-09-25
513 Woodlands Drive 14,Woodlands, 6 mins,1500.0,HDB,Master room,200.0,FULLY FURNISHED,2023-09-25 13:57:29.325241,https://99.co/singapore/rooms/property/513-woodlands-drive-14-hdb-L8pMaez3XGM39LvRXfuByd,2023-09-25
513 Woodlands Drive 14,Woodlands, 6 mins,1050.0,HDB,Common room,150.0,FULLY FURNISHED,2023-09-25 13:57:29.325243,https://99.co/singapore/rooms/property/513-woodlands-drive-14-hdb-HFKcvcWNP6XCoJZvJWSNSg,2023-09-25
9 Marine Vista,,,1600.0,Condo,Common room,150.0,FULLY FURNISHED,2023-09-25 13:57:29.325245,https://99.co/singapore/rooms/property/neptune-court-condo-mccyye6uS4yxfD7ZqqyY7e,2023-09-25
226 Yishun Street 21,,,1150.0,HDB,Master room,50.0,PARTIALLY FURNISHED,2023-09-25 13:57:29.325247,https://99.co/singapore/rooms/property/226-yishun-street-21-hdb-LFbRoCsWRVvnA9cSvYWUCN,2023-09-25
17C Simei St 4,Simei, 6 mins,1300.0,Condo,Common room,90.0,FULLY FURNISHED,2023-09-25 13:57:29.325250,https://99.co/singapore/rooms/property/double-bay-residences-condo-RjjdG5H6qGDASseYgKoqNc,2023-09-25
Hoover Park,Beauty World, 1 mins,1350.0,Unknown,Common room,180.0,FULLY FURNISHED,2023-09-25 13:57:29.325252,https://99.co/singapore/rooms/property/lorong-pisang-raja-landed-e5ZvkEthNpnPc58fFF7jsj,2023-09-25
